genes	logFC	logCPM	F	PValue	FDR
ENSG00000187098.14	ENSG00000187098.14	1.57628142665724	3.18026961576272	73.0312693920131	1.29068736503684e-17	1.26156845398123e-15
ENSG00000132109.9	ENSG00000132109.9	1.57027352915352	2.74124438821302	62.7083278781616	2.41723325550147e-15	1.87617121200493e-13
ENSG00000011422.11	ENSG00000011422.11	1.56227050874489	4.31102238993724	98.8515038126363	2.77842005937993e-23	4.40949886687065e-21
ENSG00000260027.4	ENSG00000260027.4	1.55584082465559	2.02406347016698	46.0061588873233	1.18422334858355e-11	6.07813971969166e-10
ENSG00000175984.14	ENSG00000175984.14	1.53508956431382	3.73150210214698	82.3842147610924	1.13670267290364e-19	1.3259625686165e-17
ENSG00000196668.3	ENSG00000196668.3	1.52330172063464	1.7985601283326	40.2872708378593	2.20007705199155e-10	9.63560253097358e-09
ENSG00000187608.8	ENSG00000187608.8	1.51403781370499	5.98864092344802	122.463943038744	1.88565561812054e-28	4.42490735477094e-26
ENSG00000105825.11	ENSG00000105825.11	1.50567911488335	1.54211213921575	35.5076204003649	2.5475641626899e-09	9.57846007004381e-08
ENSG00000113742.12	ENSG00000113742.12	1.50402234644019	5.28885580115417	110.992740327464	6.09506836942487e-26	1.1743814160488e-23
ENSG00000168280.12	ENSG00000168280.12	1.50395347755537	5.78311798472534	117.911417138863	1.86695218576723e-27	4.15469197119004e-25
ENSG00000175048.16	ENSG00000175048.16	1.48607596748498	2.9875060252007	61.6630423082163	4.10886425460076e-15	3.12875486700079e-13
ENSG00000026652.13	ENSG00000026652.13	1.48284340640446	0.376289919992747	18.3486072697099	1.84095540955926e-05	0.000363775684271624
ENSG00000067066.16	ENSG00000067066.16	1.47772268079998	4.89541042463522	100.408325307673	1.26675297755213e-23	2.05917354636695e-21
ENSG00000154639.18	ENSG00000154639.18	1.47229012313513	-0.451667835656868	10.1858126247353	0.00141561590143587	0.0173628154939586
ENSG00000168062.9	ENSG00000168062.9	1.46505233320851	-0.0259077207363081	13.9014622508811	0.000192736562902439	0.00299518116449576
ENSG00000122786.19	ENSG00000122786.19	1.46188156279925	2.10741472036764	42.6962502425813	6.41879512557894e-11	3.02661998775148e-09
ENSG00000088002.11	ENSG00000088002.11	1.45948914485989	5.4141784084446	106.799643024588	5.04527245945536e-25	9.27653327697664e-23
ENSG00000113211.5	ENSG00000113211.5	1.45717269362091	2.78389982623076	55.3951172838701	9.92324305143175e-14	6.56916511466241e-12
ENSG00000136167.13	ENSG00000136167.13	1.45225567112158	3.45130431247027	68.7350402659946	1.1376198458081e-16	1.01640855794066e-14
ENSG00000185761.10	ENSG00000185761.10	1.45078618813797	4.15516163842075	83.0163096621686	8.25776649782106e-20	9.72674574122251e-18
ENSG00000128656.13	ENSG00000128656.13	1.44535447772927	4.68477803826073	92.2822930567307	7.65204769526587e-22	1.06824002871781e-19
